date;body temperature;cycle phase;Sleep Score;Total Sleep Score;REM Sleep Score;Deep Sleep Score;Sleep Efficiency Score;Restfulness Score;Sleep Latency Score;Sleep Timin Score;Total Sleep Duration;Total Bedtime ;Awake Time;REM Sleep Duration;Light Sleep Duration;Deep Sleep Duration;Restless Sleep;Sleep Efficiency;Sleep Latency;Sleep Timing;Bedtime Start;Bedtime End;Average Resting Heart Rate;Lowest Resting Heart Rate;Average HRV;Temperature Deviation (°C);Temperature Trend Deviation;Respiratory Rate;Activity Score;Stay Active Score;Move Every Hour Score;Meet Daily Targets Score;Training Frequency Score;Training Volume Score;Activity Burn;Total Burn;Steps;Equivalent Walking Distance;Inactive Time;Rest Time;Low Activity Time;Medium Activity Time;High Activity Time;Non-wear Time;Average MET;Long Periods of Inactivity;Readiness Score;Previous Night Score;Sleep Balance Score;Previous Day Activity Score;Activity Balance Score;Temperature Score;Resting Heart Rate Score;HRV Balance Score;Recovery Index Score
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;97;100;43;96;97;215;1705;6512;5572;21600;31620;10260;2400;0;20520;13125;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;100;100;78;100;97;217;1758;5088;5216;18000;15720;14400;1740;120;36420;1375;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;85;100;78;96;96;2;1460;74;47;600;3420;240;0;0;82140;11875;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;69;100;60;96;63;295;1873;7207;7146;36300;11760;12420;3420;120;22380;146875;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;86;100;43;71;95;192;1714;5937;4645;28200;15360;6660;2400;0;33780;134375;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;99;95;25;71;96;114;1600;3076;2774;18960;14520;4080;1440;60;47340;128125;1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;100;100;25;100;97;334;1882;9790;8373;16800;12300;14820;3660;60;38760;15;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;100;100;25;100;96;1;1444;20;48;480;11880;60;0;0;73980;115625;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;100;100;1;100;87;4;1421;112;95;2160;27420;480;0;0;56340;1125;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;100;100;95;100;99;321;1844;6148;8030;17100;21600;10800;4020;120;32760;14375;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;96;100;43;100;98;215;1749;6594;5445;22800;14460;8220;2760;0;38160;1375;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;95;100;25;100;97;463;2067;13921;11712;25320;6300;16920;5760;60;32040;165625;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;100;100;43;96;98;37;1482;789;920;2940;16920;2040;300;0;64200;11875;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;93;100;100;100;100;404;1951;10012;10476;24780;20580;11700;6240;60;23040;153125;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;100;100;95;100;96;2;1425;37;48;1680;22500;60;0;0;62160;1125;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;100;100;43;71;48;3;1433;68;72;540;18900;240;60;0;66660;1125;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;100;100;43;40;48;30;1496;908;544;13140;19320;3360;0;0;50580;11875;0;;;;;;;;;
